Match,Innings,match_date,Versus,Ground,How Dismissed,Runs,Balls_faced,strike_rate
387,377,6/29/2007,South Africa,Civil Service Cricket Club,b T Tshabalala,93,106,87.74
388,378,7/1/2007,South Africa,Civil Service Cricket Club,c †M V Boucher b M Ntini,8,8,100
389,379,8/21/2007,England,The Rose Bowl,c R S Bopara b J M Anderson,17,33,51.52
390,380,8/24/2007,England,County Ground (Bristol),c †M J Prior b A Flintoff,99,112,88.39
391,381,8/27/2007,England,Edgbaston,c P D Collingwood b J M Anderson,8,19,42.11
392,382,8/30/2007,England,Old Trafford,c A Flintoff b K P Pietersen,55,86,63.95
393,383,9/2/2007,England,Headingley,c †M J Prior b J Lewis,71,59,120.34
394,384,9/5/2007,England,Kennington Oval,c P D Collingwood b M S Panesar,94,81,116.05
395,385,9/8/2007,England,Lord's,c †M J Prior b A Flintoff,30,46,65.22
396,386,9/29/2007,Australia,M Chinnaswamy Stadium,lbw b M G Johnson,0,6,0
397,387,10/2/2007,Australia,Nehru Stadium (Kochi),c A Symonds b S R Clark,16,25,64
398,388,10/5/2007,Australia,Rajiv Gandhi International Stadium,b G B Hogg,43,71,60.56
399,389,10/8/2007,Australia,Sector 16 Stadium,run out,79,119,66.39
400,390,10/11/2007,Australia,Reliance Stadium,c †A C Gilchrist b B Lee,47,73,64.38
401,391,10/14/2007,Australia,Vidarbha Cricket Association Ground,st A C Gilchrist b J R Hopes,72,72,100
402,392,10/17/2007,Australia,Wankhede Stadium,b B Lee,21,36,58.33
403,393,11/5/2007,Pakistan,Nehru Stadium (Guwahati),lbw b Shoaib Akhtar,4,7,57.14
404,394,11/8/2007,Pakistan,Punjab Cricket Association IS Bindra Stadium,c †Kamran Akmal b Umar Gul,99,91,108.79
405,395,11/11/2007,Pakistan,Green Park,c †Kamran Akmal b Sohail Tanvir,29,27,107.41
406,396,11/15/2007,Pakistan,Captain Roop Singh Stadium,b Umar Gul,97,102,95.1
407,397,11/18/2007,Pakistan,Sawai Mansingh Stadium,c MisbahulHaq b Sohail Tanvir,30,27,111.11
408,398,2/3/2008,Australia,Brisbane Cricket Ground,hit wicket b B Lee,10,17,58.82
409,399,2/4/2008,Sri Lanka,Brisbane Cricket Ground,b S L Malinga,35,52,67.31
410,400,2/10/2008,Australia,Melbourne Cricket Ground,c B Lee b M G Johnson,44,54,81.48
411,401,2/12/2008,Sri Lanka,Manuka Oval,c K M D N Kulasekara b M F Maharoof,32,30,106.67
412,402,2/17/2008,Australia,Adelaide Oval,lbw b N W Bracken,5,15,33.33
413,403,2/19/2008,Sri Lanka,Adelaide Oval,b S L Malinga,0,2,0
414,404,2/24/2008,Australia,Sydney Cricket Ground,lbw b B Lee,2,3,66.67
415,405,2/26/2008,Sri Lanka,Bellerive Oval,c L P C Silva b M Muralitharan,63,54,116.67
416,406,3/2/2008,Australia,Sydney Cricket Ground,not out,117,120,97.5
417,407,3/4/2008,Australia,Brisbane Cricket Ground,c R T Ponting b M J Clarke,91,121,75.21
418,408,11/23/2008,England,M Chinnaswamy Stadium,b S C J Broad,11,21,52.38
419,409,11/26/2008,England,Barabati Stadium,b S J Harmison,50,57,87.72
420,410,1/28/2009,Sri Lanka,Rangiri Dambulla International Stadium,lbw b T Thushara,5,16,31.25
421,411,1/31/2009,Sri Lanka,R Premadasa Stadium,lbw b K M D N Kulasekara,6,9,66.67
422,412,2/3/2009,Sri Lanka,R Premadasa Stadium,lbw b C R D Fernando,7,12,58.33
423,413,3/3/2009,New Zealand,McLean Park,c †B B McCullum b I G Butler,20,23,86.96
424,414,3/6/2009,New Zealand,Westpac Stadium,lbw b D L Vettori,61,69,88.41
425,415,3/8/2009,New Zealand,AMI Stadium,retired hurt,163,133,122.56
426,416,9/11/2009,New Zealand,R Premadasa Stadium,c M J Guptill b D L Vettori,46,55,83.64
427,417,9/12/2009,Sri Lanka,R Premadasa Stadium,c B A W Mendis b K M D N Kulasekara,27,33,81.82
428,418,9/14/2009,Sri Lanka,R Premadasa Stadium,lbw b B A W Mendis,138,133,103.76
429,419,9/26/2009,Pakistan,SuperSport Park,c †Kamran Akmal b Mohammad Amir,8,14,57.14
430,,9/28/2009,Australia,SuperSport Park,did not bat,,,
431,420,10/25/2009,Australia,Reliance Stadium,c R T Ponting b S R Watson,14,29,48.28
432,421,10/28/2009,Australia,Vidarbha Cricket Association Stadium,c C L White b P M Siddle,4,8,50
433,422,10/31/2009,Australia,Arun Jaitley Stadium,run out,32,47,68.09
434,423,11/2/2009,Australia,Punjab Cricket Association IS Bindra Stadium,lbw b N M Hauritz,40,68,58.82
435,424,11/5/2009,Australia,Rajiv Gandhi International Stadium,c N M Hauritz b C J McKay,175,141,124.11
436,425,11/8/2009,Australia,Nehru Stadium (Guwahati),c & b D E Bollinger,10,17,58.82
437,426,12/15/2009,Sri Lanka,Madhavrao Scindia Cricket Ground,b C R D Fernando,69,63,109.52
438,427,12/18/2009,Sri Lanka,Vidarbha Cricket Association Stadium,st K C Sangakkara b B A W Mendis,43,52,82.69
439,428,12/21/2009,Sri Lanka,Barabati Stadium,not out,96,104,92.31
440,429,12/24/2009,Sri Lanka,Eden Gardens,c S Randiv b R A S Lakmal,8,8,100
441,430,2/21/2010,South Africa,Sawai Mansingh Stadium,run out,4,5,80
442,431,2/24/2010,South Africa,Captain Roop Singh Stadium,not out,200,147,136.05
443,432,1/12/2011,South Africa,Kingsmead,c D W Steyn b L L Tsotsobe,7,11,63.64
444,433,1/15/2011,South Africa,Wanderers Stadium,b J Botha,24,44,54.55
445,434,2/19/2011,Bangladesh,Shere Bangla National Stadium,run out,28,29,96.55
446,435,2/27/2011,England,M Chinnaswamy Stadium,c M H Yardy b J M Anderson,120,115,104.35
447,436,3/6/2011,Ireland,M Chinnaswamy Stadium,lbw b G H Dockrell,38,56,67.86
448,437,3/9/2011,Netherlands,Arun Jaitley Stadium,c B P Kruger b P M Seelaar,27,22,122.73
449,438,3/12/2011,South Africa,Vidarbha Cricket Association Stadium,c JP Duminy b M Morkel,111,101,109.9
450,439,3/20/2011,West Indies,MA Chidambaram Stadium,c †D C Thomas b R Rampaul,2,4,50
451,440,3/24/2011,Australia,Narendra Modi Stadium,c †B J Haddin b S W Tait,53,68,77.94
452,441,3/30/2011,Pakistan,Punjab Cricket Association IS Bindra Stadium,c Shahid Afridi b Saeed Ajmal,85,115,73.91
453,442,4/2/2011,Sri Lanka,Wankhede Stadium,c †K C Sangakkara b S L Malinga,18,14,128.57
454,443,2/5/2012,Australia,Melbourne Cricket Ground,c R T Ponting b M A Starc,2,6,33.33
455,444,2/8/2012,Sri Lanka,WACA Ground,b A D Mathews,48,63,76.19
456,445,2/14/2012,Sri Lanka,Adelaide Oval,c †K C Sangakkara b K M D N Kulasekara,15,24,62.5
457,446,2/19/2012,Australia,Brisbane Cricket Ground,c X J Doherty b B W Hilfenhaus,3,12,25
458,447,2/21/2012,Sri Lanka,Brisbane Cricket Ground,b K M D N Kulasekara,22,23,95.65
459,448,2/26/2012,Australia,Sydney Cricket Ground,run out,14,15,93.33
460,449,2/28/2012,Sri Lanka,Bellerive Oval,lbw b S L Malinga,39,30,130
461,450,3/13/2012,Sri Lanka,Shere Bangla National Stadium,c D P M D Jayawardene b R A S Lakmal,6,19,31.58
462,451,3/16/2012,Bangladesh,Shere Bangla National Stadium,c †Mushfiqur Rahim b Mashrafe Mortaza,114,147,77.55
463,452,3/18/2012,Pakistan,Shere Bangla National Stadium,c Younis Khan b Saeed Ajmal,52,48,108.33
